subjects,roi,condition,trial,TR3,TR4,TR5,TR6
as170730,nacc,food,trial5,-0.0357,-1.3989,-1.636,-1.3034
as170730,nacc,food,trial6,0.14721,0.34697,0.28998,0.50755
as170730,nacc,food,trial7,0.37638,-0.27042,0.07934,0.32941
as170730,nacc,food,trial8,-0.60341,-0.51285,-0.74811,-0.14371
as170730,nacc,food,trial9,-0.034197,0.5515,0.56049,1.2936
as170730,nacc,neutral,trial1,0.2884,-0.46992,-0.36654,0.56803
as170730,nacc,neutral,trial10,-0.31009,1.2661,-2.4857,1.6274
as170730,nacc,neutral,trial11,1.4138,0.53397,0.22655,0.50469
as170730,nacc,neutral,trial12,0.88233,1.559,1.3414,1.0214
as170730,nacc,neutral,trial13,-1.9352,1.7099,-2.1327,1.2017
as170730,nacc,neutral,trial14,0.081085,0.64804,0.05185,0.89057
as170730,nacc,neutral,trial15,-0.44813,0.062065,-0.36612,0.60844
as170730,nacc,neutral,trial16,-0.46678,-0.24133,0.25858,-0.23724
as170730,nacc,neutral,trial17,-0.93683,-0.014021,-0.20202,-0.18073
as170730,nacc,neutral,trial18,-0.75157,-0.90909,0.24328,0.073732
as170730,nacc,neutral,trial2,-0.13596,0.082112,-0.30311,0.05321
as170730,nacc,neutral,trial3,0.15474,0.6912,0.20145,0.82562
as170730,nacc,neutral,trial4,-0.17383,0.43463,0.85713,0.54225
as170730,nacc,neutral,trial5,0.58783,0.59114,0.082264,-0.62533
as170730,nacc,neutral,trial6,-0.37378,-0.18634,0.19337,0.3408
as170730,nacc,neutral,trial7,0.1648,-0.18326,0.20786,-0.51161
as170730,nacc,neutral,trial8,-0.030354,0.22427,0.54705,0.039079
as170730,nacc,neutral,trial9,-0.31748,0.31734,-1.1896,4.2047
at160601,nacc,drugs,trial1,-0.20025,-0.1994,0.0012817,0.122
at160601,nacc,drugs,trial10,0.14571,-0.10511,0.21633,0.19996
at160601,nacc,drugs,trial11,-0.1073,-0.040028,-0.0033899,0.034239
at160601,nacc,drugs,trial12,-0.12616,0.17967,-0.14663,0.10807
at160601,nacc,drugs,trial13,0.12703,-0.28961,-0.07009,0.2401
at160601,nacc,drugs,trial14,-0.19533,-0.1426,-0.26321,-0.038994
at160601,nacc,drugs,trial15,0.043805,-0.12123,-0.16043,0.081858
at160601,nacc,drugs,trial16,-0.066094,-0.063038,-0.28084,0.15192
at160601,nacc,drugs,trial17,0.13706,-0.18649,-0.33817,0.10955
at160601,nacc,drugs,trial18,0.18259,0.14417,-0.4968,-0.19784
at160601,nacc,drugs,trial2,-0.28863,-0.2756,-0.045746,-0.21945
at160601,nacc,drugs,trial3,0.086028,0.10194,-0.26801,0.19831
at160601,nacc,drugs,trial4,0.10582,0.19875,0.23898,-0.083843
at160601,nacc,drugs,trial5,-0.40288,-0.17177,-0.33097,0.037616
at160601,nacc,drugs,trial6,-0.061826,-0.42226,0.22501,0.43809
at160601,nacc,drugs,trial7,-0.026283,0.34053,0.2678,0.020409
at160601,nacc,drugs,trial8,0.071056,0.51912,-0.26008,-0.16679
at160601,nacc,drugs,trial9,0.45065,0.13488,-0.40005,-0.1393
at160601,nacc,food,trial1,0.2008,-0.034001,-0.1409,0.28693
at160601,nacc,food,trial10,-0.064687,0.045692,-0.061273,0.5602
at160601,nacc,food,trial11,0.33542,0.62128,-0.26766,-0.45597
at160601,nacc,food,trial12,-0.15452,-0.018554,-0.37559,-0.47234
at160601,nacc,food,trial13,0.089097,-0.51501,-0.24916,-0.086847
at160601,nacc,food,trial14,0.27704,0.38763,0.25125,-0.02178
at160601,nacc,food,trial15,0.94112,0.70028,-0.1951,-0.078563
at160601,nacc,food,trial16,-0.17983,-0.086848,-0.19786,0.12918
at160601,nacc,food,trial17,0.18695,0.15251,-0.34645,-0.35501
at160601,nacc,food,trial18,-0.077732,-0.1916,-0.17873,0.041479
at160601,nacc,food,trial2,0.03541,0.24771,-0.24944,0.1808
at160601,nacc,food,trial3,0.37521,0.61831,0.066426,0.065427
at160601,nacc,food,trial4,-0.0051378,0.23033,0.25723,0.052248
at160601,nacc,food,trial5,-0.2124,-0.13318,-0.29993,-0.17726
at160601,nacc,food,trial6,0.11519,-0.36278,-0.30536,-0.053246
at160601,nacc,food,trial7,0.201,-0.092467,0.11801,0.32468
at160601,nacc,food,trial8,-0.20455,-0.15507,-0.46455,-0.033636
at160601,nacc,food,trial9,0.352,0.11912,0.098669,-0.36823
at160601,nacc,neutral,trial1,-0.14498,-0.22667,0.31919,0.40896
at160601,nacc,neutral,trial10,-0.12819,-0.36907,-0.04584,-0.0060925
